source,emotion,avg_score
newspaper,anger,0.052173845789499115
newspaper,anticip,0
newspaper,anticipation,0.16041602508492853
newspaper,disgust,0.03521397806167476
newspaper,fear,0.11468878613171167
newspaper,joy,0.06093316307258402
newspaper,negative,0.14253916962565652
newspaper,positive,0.20498245458957637
newspaper,sadness,0.05717143151035334
newspaper,surprise,0.029640615381994546
newspaper,trust,0.13490457890997215
tiktok,anger,0.04273523227410551
tiktok,anticip,0
tiktok,anticipation,0.2902217147856598
tiktok,disgust,0.024117934878052995
tiktok,fear,0.07230193227675567
tiktok,joy,0.036024303479740526
tiktok,negative,0.11204089572089695
tiktok,positive,0.1250486608494949
tiktok,sadness,0.038518780260626204
tiktok,surprise,0.024132201770964954
tiktok,trust,0.06966653060299546
youtube,anger,0.051581473776833614
youtube,anticip,0
youtube,anticipation,0.22496821381709672
youtube,disgust,0.03046422575707672
youtube,fear,0.09178766431240695
youtube,joy,0.03698876744570586
youtube,negative,0.14448148841246228
youtube,positive,0.13438481095447524
youtube,sadness,0.05283319361765575
youtube,surprise,0.032055029474253045
youtube,trust,0.08843149282219948
